video_id,duration
-7zp6ZZTH34,00:03:16
Y53KnkQtVj0,00:01:03
77GGXhnsnkE,00:12:54
5RI9qC0JSuE,00:01:23
XyNWEWUSa5E,00:10:55
Xhe40lwemMg,00:00:38
e8Cw17p_BiU,00:13:41
kd0VMGnsOo8,00:01:14
33Y_5gOyi3Y,00:10:32
lnqjNYd_hho,00:10:15
XDVV29jJjuE,00:01:58
Y-eClU_8TMk,00:02:22
_1sEg_aWbJ0,00:40:55
Q8lQ6ii7Sfo,00:02:22
WhQJM6NH104,00:12:02
N7b5g48Gk6c,00:00:29
5zyFHe_O60k,00:01:24
P32hvk8b13M,01:00:32
BmQ_a7LZB5w,00:05:16
UkGaIfk73PM,00:29:55
bujOtGbkVB8,00:03:56
b6KBPaSpvQQ,00:43:50
fJORlbOGm9Y,00:05:15
wMRVFAJg3CA,00:12:11
OXakAR4dl34,00:01:15
Ba7Fs7SJOAg,00:01:12
D-R8PpDwXFw,00:19:56
rZN5uSbSvSo,00:04:09
OKswUrC3nAw,00:02:35
iNIwGrvrT3U,00:01:45
VMu7_W0QE3Y,00:04:04
-Ve7ZUbbjQ8,00:04:35
_79j_-2xMrQ,00:07:04
bWOKc_MXUh0,00:00:23
4g3CwAunQcM,00:01:14
GeLp4F-Svc8,00:06:03
4cM_hcITYHs,00:01:56
JA7vzIfD8Hw,00:00:10
AFp5ouiX6bw,00:14:43
Os5YLB5D2BU,00:43:07
D1CnNAszv_M,00:08:36
kQFKYp0p8po,00:03:17
0A9pYr8wevk,01:02:34
ffZ9PGSYElo,00:00:17
UTY09SYUfWw,00:00:42
jgbhShTU4dY,00:00:48
ZvUnPGkQBQ0,00:04:01
9BdtGjoIN4E,00:01:50
pBfyhBh4LxU,00:00:34
Nwmo9QKeF0Q,00:57:37
MwRZrDDjouo,00:59:53
2mX5eewxxEw,00:04:39
rDGAAGxrZWU,00:01:17
k-nSyfh6jr8,00:05:35
_xx2F3RgUL0,00:24:48
Eaz0P_gJ9FE,00:14:00
e1YafrxYOWw,00:12:08
2lrNZdY3fE4,00:15:41
vRlFnYQmP90,00:00:23
xF9r2xWhBLo,00:00:36
zl203Xj26AI,00:07:54
g9NKAPaqO3o,00:01:47
y0GSc5fKtl8,01:01:49
AVbZk9YXlJQ,00:00:20
pZb6175kqMk,00:51:22
U5TIHgt-G1U,00:00:19
0jhQBQcGnuM,00:09:00
NjGruQAmTyM,00:00:11
RlArcd5zeDA,00:05:47
ojOUIg13g3I,00:12:28
nZMNxQhYoG4,00:05:53
Mc_EZY4213c,00:04:53
w2FJHN3T5C0,00:01:57
AI_jejvTblE,00:37:24
psJtcFpoUdY,00:07:56
1pVolaKhxVM,00:59:41
9ElsoZgRcfI,00:21:08
wlMSgRhaMAw,00:11:41
r4tVe98MGPM,00:00:34
O17TOOOVkgs,00:08:38
QW-5FGqywaw,00:00:47
ulmg24T757Q,00:00:16
CkvKYCg36C8,00:02:49
f8AF5wrzNrs,00:55:08
FQWba56Olsg,00:00:29
0n6TZpm2XX4,00:00:28
IMFDdTUre4Q,00:05:44
aBZlbb9sE-g,00:07:30
KZe6n8xMkUU,00:15:24
9EtjvjW_yLw,00:42:38
4Cjptz2qU0o,00:00:37
ftBw2Ib_Npo,00:01:44
Fj-cmQ55J5Y,00:02:06
Nj3_DMUXEbE,00:09:54
Iju5tHB2UCc,00:19:28
6L6Clu1uzj4,00:00:28
TT0TcIUo88E,00:14:01
p32owQE_5u0,00:06:01
7LQuBB05Tm8,00:01:49
VEzWZav5EkA,00:04:39
IiHrZcZrT64,00:09:14
0z2ov0sEWtk,00:13:07
dNF9SCWLgKI,00:06:39
SnsgB3YK9EY,00:00:44
zj-Q4RPTtSI,00:07:31
BPw-iesWa_8,00:04:12
Fotwf6qVXcI,00:47:01
DbAEuFbFaco,00:02:56
VoDEIyXtO5U,00:09:55
TbA8lmk7tr4,00:00:59
M69cRN2SaUA,00:03:59
47YrEouBB8M,00:22:16
blDsmrsyOME,00:11:46
G7o7rflSvZE,00:01:14
tYQU29RaLWE,00:11:18
pW2jDTf82IM,00:08:24
GJbtDTGmOGY,00:16:15
GgIUhWjFlyU,00:02:09
44oVGsD5-1w,00:00:15
pDFsarRJ9Uw,00:01:41
eccsp0hYptA,00:09:22
mj2VjcOXXs4,00:24:17
FvKoT1tFyBM,00:01:18
BxXRelFfKWQ,00:01:46
9ZpeeilvNQY,00:06:29
ISLeBXb3xec,00:40:53
b410-sVPEEY,00:01:12
qC9GwSGgWqI,00:00:49
B47Idwxi3jI,00:16:52
h6Q-5Q2N5ck,01:00:49
yMseUJm1604,00:05:11
JVYAanFi0q8,00:00:32
jyULNpjgC8Y,00:02:54
nLiE8U_qO14,00:00:49
FNnPScv9Qkg,00:18:32
o9ToXNdHANE,00:14:37
X30OwlsMWak,01:14:09
832SYFEyxjM,00:01:19
sRjN7Rllgrk,00:09:37
8pvlAAu377s,00:00:28
7eVUWLv6gz4,00:03:54
4lNeRGyYL-4,00:01:10
IOo7UJuKsHs,00:08:40
X1DcpcgSUXw,00:11:37
mfKDVI_Ziik,00:01:01
lBGo_pvbM6Q,00:13:15
nz3NYD73H6E,00:55:35
8d2pSUH6BKA,00:02:52
lxSjaArA5TQ,00:03:20
mZ5H8sn_2ZI,00:02:56
Gm4sNBDnE4M,00:00:52
8lMAMQZRwQM,00:05:25
sCCBJBb4HQA,00:16:53
7QVvV-dkyvE,00:07:25
paWIY7EPWpE,00:05:55
e2ad4BuOKzw,00:06:55
oj3HNJOchgI,00:14:28
9Gsmiff27do,01:24:45
47IlHYmqNlY,00:13:24
A5-S4oLBkAo,00:01:29
Zlt2FYupwEg,00:07:27
cDIrlTjHS8o,00:04:54
DZaQFjuHo8Y,00:05:14
yoUxqeAN0So,00:22:20
RWxv2Sniqqo,00:05:39
8M2X7mGVdqU,00:57:41
fMkb2_ff2Rk,00:26:52
HwXc2VA6xuc,00:01:53
vX4mRT2HcnI,00:02:53
czKlCmD-hGs,00:29:36
s0ofV2h9ffM,00:00:10
vtw5Ev0wSiA,00:16:26
ZxWMVt6IGlw,00:00:55
NHexrFjeO6o,00:05:49
AdA3eYjIfLo,00:02:01
7yzvno4AvKw,00:58:24
2PhVsbdbHKU,00:01:51
USutNGw_cXo,00:02:37
kGCSX6A2cxY,00:05:46
JTHP_PH21k0,00:02:18
CvSjO3lyL_U,00:01:11
K5Qz0f6tPB8,00:01:30
EtAc-H-wDwA,00:05:03
bZJq11Mjrfk,00:03:38
JAn_bO64HUI,00:01:57
zTxnqaOl9HE,00:00:50
1UVvhCYSlHk,00:03:46
9TU0Yv5tGgs,00:00:30
HEdikBHsMag,00:06:39
WHwaXB1XWxs,00:01:38
lzBGZaS1apw,00:37:27
0XyV91VYrDs,00:05:15
QlI65u6MPL8,00:07:03
X-81V5jNrYM,00:14:02
vF8zKgLRW8o,00:00:32
jkgH7yY6ATY,00:00:50
kDguqVQydco,00:08:46
YgbMDAXv9-M,00:08:59
V-uLLyt5-8c,00:08:56
DKWml2MVPeo,00:59:05
0CaigsLZUdE,00:22:21
rTcnTOXf_jM,00:17:35
wLVo7_t629A,00:01:07
pQ7gLjrWCkI,00:02:06
6c1QYZAEP2M,00:02:47
-X5iE-hatiw,00:36:25
zA_19bHxEYg,00:08:01
32Gl5DHggh8,00:03:58
vsGDtnBCwgg,00:12:13
jlCb2mYQcqQ,00:10:01
m6n_rozU8dA,00:08:15
GRPtNCG3hj8,00:00:40
Z574nedsSgU,00:31:24
bzlDPBKn2Fs,00:10:27
H2iVDvN4zek,00:13:42
PM8KnomwkYs,01:00:43
1v_ALs6zuRw,00:08:45
cX_GhJ6BuWI,01:18:28
JTSWlNC1Ad8,00:07:00
BwodVksK2pE,00:01:01
dXQc4P7YE1E,00:00:08
sKHEv0S4mzc,00:00:50
TxgPZXe8XTo,00:10:14
_k6zg5mLDXk,00:07:02
W45wChrUQmE,00:00:25
_EcDreXNpO8,00:02:52
GijMzuN5mRY,00:00:51
07vJm6A45Fs,00:02:39
f-W3FFegUnY,00:10:39
eOZnrD8_LAw,00:20:41
skxxdW_A0O8,00:01:41
Dyw7SGiXy9Y,00:01:40
VMawPTAbEGo,00:16:19
zbiH56FPMBk,00:03:00
dKzl_82PbU4,00:04:02
8JL6hVCcyWA,00:05:16
rxulYzvlTGw,00:03:58
ilL8ViUDUKc,00:01:26
mJtvJP9QpYw,00:05:14
o0pCft99K74,00:22:46
7GfyRrPYKG0,00:04:40
J3nfaOQXLNQ,00:02:45
gO0M9Ag9vPQ,00:00:26
F8jZcqcpbKk,00:20:48
Xbj81TwsbLQ,00:01:08
qR6Ev8GOnnA,00:06:02
Xv55EYGIUn4,00:43:35
1P4yE0Nc_c0,00:00:22
OrsdvCndArY,00:04:26
afGv7A9gvmc,00:49:40
HEp3QnDyWSo,00:10:18
hPkEqOoQSu4,00:04:32
_6_IiAdSYEg,00:04:26
zW_lpWKpFGU,00:08:36
GExnnTaBELk,00:44:21
6oqw19cXFUQ,00:04:46
O5f5yS6yaHA,00:44:50
LW8Rfh6TzGg,00:14:16
UpjGttuxpKs,00:16:28
e7Pr1VgPK4w,00:10:38
8A5AwX6XExw,00:06:07
Pj8n1UjS_3I,00:00:13
nJRwe9pL6aE,00:01:24
wSvjHAEi2g8,00:00:25
IGSpP-Vk4sw,00:04:39
SrhHszXkMRU,00:06:49
