S.No. ,Email,Curriculum Progress,Quiz Score, Bonus Points, Total Score, % Score, badge,3123,3126,3136,3137,3138,3140,3141,3142,3143,3144
1,9afe119c43b64f5dbdb5a77c6ecc821505175b7d700f4a5543011194,0 out of 10 Course Completed,0 out of 0,0,0,0.00%,na,na,na,na,na,na,na,na,na,na,na
2,4db28aaf394dad8ba5795ff741df4bbe6679a83b4933ec7ab451e8d5,10 out of 10 Course Completed,855 out of 1000,5,860,86.00%,,60,90,95,90,70,100,90,85,85,90
3,bb065fd898fc7b7ed09894e2bf6879185508ac35a980d61941fb8bb9,10 out of 10 Course Completed,875 out of 1000,0,875,87.50%,gold,90,90,95,90,75,80,95,85,85,90
4,93c2eecf2f60bae65f0ab6867f64ceb1cda0cb09e7c95a18f55ff5c2,10 out of 10 Course Completed,875 out of 1000,5,880,88.00%,gold,80,85,90,85,60,95,100,90,90,100
5,bb02a3bdc33f55fae09f0d781f111e9f1cf9912f3bbf3575b3641e49,10 out of 10 Course Completed,930 out of 1000,40,970,97.00%,platinum,90,95,90,95,85,100,95,95,95,90
6,35f5a104dfdaf41b8789b9441613ef75005ff0d160b6531d5f4e3315,10 out of 10 Course Completed,760 out of 1000,10,770,77.00%,gold,75,75,65,60,75,85,95,90,75,65
7,46666834dcce5387d999ca8e9f84ce82b0c558844c94e2493631f28a,10 out of 10 Course Completed,740 out of 1000,5,745,74.50%,,85,70,65,45,65,75,80,95,90,70
8,ff1942d7d70a460b5d1869dc6748093253959377852874d7246ae20e,10 out of 10 Course Completed,700 out of 1000,5,705,70.50%,silver,65,70,65,65,70,80,60,95,65,65
9,0378ebd3ba5f214c2ac890507d42a810736717f185c431133aa2f04f,10 out of 10 Course Completed,890 out of 1000,25,915,91.50%,platinum,80,85,90,95,80,95,90,85,95,95
10,6fd2ce24ae6532575d0459ce8d9264da8c4dc24e3d41dbbd8fd9df32,10 out of 10 Course Completed,910 out of 1000,0,910,91.00%,platinum,80,100,95,95,85,100,90,95,75,95
11,3926953ec9941c0df0ae040f163e6dc96d690db6add283ef6388c87d,10 out of 10 Course Completed,960 out of 1000,25,985,98.50%,platinum,80,95,100,100,100,100,100,95,95,95
12,b5f45ed7c51eb485c35fbb49926bcb167f0c2ae54ecdecd6f5835a59,10 out of 10 Course Completed,890 out of 1000,30,920,92.00%,platinum,85,95,80,100,90,90,80,95,95,80
13,67f2c1f4339f955da0f85462e768a6ec281093d05e6d0c72380944bd,10 out of 10 Course Completed,840 out of 1000,5,845,84.50%,gold,65,80,90,80,95,95,85,85,75,90
14,3e19323de46aa3b98d6f6b5cc255739de7e24abee27503a04af7185b,0 out of 10 Course Completed,0 out of 0,0,0,0.00%,na,na,na,na,na,na,na,na,na,na,na
15,e0628941e861dded999ac36026dca60ce5cd3abbef8d1065ac404535,10 out of 10 Course Completed,870 out of 1000,20,890,89.00%,gold,85,90,90,90,85,95,90,85,85,75
